"erro","graus"
"12.9393",4.0
"7.8142",9.0
"1.6405",14.0
"0.6042",19.0
"0.1529",24.0
"0.0209",29.0
"0.0232",34.0
"0.0082",39.0
"0.0046",44.0
"0.0027",49.0
"0.0016",54.0
"0.001",59.0
"0.0006",64.0
"0.0004",69.0
"0.0002",74.0
